UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000029456071;I15G0556;CTO - OPTAP-B-80/20;AMMNS_G1I15;RUA DOUTOR JOSE GOMES MANAUS JAPIIM 69076250 AM 1674;MANAUS;-3.113943300;-59.977586400;G0;AMMNS-I15SP70;AMMNS-I15SP70-SS4;MNS_I15_1_GPON_VLAN_173_174_175-ALC;1/1/3/11
EQP0000000029464467;I06G0885;CTO - PAD TELEFONICA;AMMNS_G1I06;RUA SUL MANAUS ALVORADA 69046740 AM 315;MANAUS;-3.063757400;-60.042952000;G0;AMMNS-I06SP111;AMMNS-I06SP111-SS5;MNS_I06_1_GPON_VLAN_136_137_138-ALC;1/1/5/9
EQP0000000029458198;I13G0872;CTO - OPTAP-B-90/10;AMMNS_G1I13;AVENIDA GOVERNADOR JOSE LINDOSO MANAUS CIDADE NOVA 69090585 AM 1394;MANAUS;-3.051779000;-59.985182700;G0;AMMNS-I13SP109;AMMNS-I13SP109-SS8;MNS_I13_1_GPON_VLAN_179_180_181-ALC;1/1/5/5
EQP0000000029451443;M04GP2021;TO;AMMNS_G1M04;RUA JITAUNA MANAUS FLORES 69058825 AM 150;MANAUS;-3.063606100;-60.019443700;GP;AMMNS-M04SP253;AMMNS-M04SP253-SS5;MNS_M04_2_GPON_VLAN_109_110_111-ALC;1/1/1/14
EQP0000000029474918;I14G01987;CTO - OPTAP-B-70/30;AMMNS_G1I14;RUA LAURO MACHADO MANAUS GLORIA 69027440 AM 154;MANAUS;-3.124732700;-60.034791300;G0;AMMNS-I14SP249;AMMNS-I14SP249-SS3;MNS_I14_2_GPON_VLAN_188_189_190-ALC;1/1/3/1
EQP0000000029455325;I13G01909;CTO - OPTAP-B-85/15;AMMNS_G1I13;RUA CONDE DE TOCANTINS MANAUS FLORES 69058420 AM 583;MANAUS;-3.046608000;-59.992673900;G0;AMMNS-I13SP239;AMMNS-I13SP239-SS5;MNS_I13_2_GPON_VLAN_182_183_184-ALC;1/1/1/16
EQP0000000029455344;I13G01901;CTO - OPTAP-B-85/15;AMMNS_G1I13;RUA BARAO DO ACU MANAUS FLORES 69058231 AM 424;MANAUS;-3.046136900;-59.997041000;G0;AMMNS-I13SP238;AMMNS-I13SP238-SS5;MNS_I13_2_GPON_VLAN_182_183_184-ALC;1/1/1/15
EQP0000000106485141;M04GP1697;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;AMMNS_G1M04;AVENIDA PROFESSOR NILTON LINS MANAUS FLORES 69058030 AM 877;MANAUS;-3.070269800;-60.018061400;GP;AMMNS-M04SP213;AMMNS-M04SP213-SS1;MNS_M04_1_GPON_VLAN_106_107_108-ALC;1/1/8/9
EQP0000000029453611;I13G02830;CTO - OPTAP-B-90/10;AMMNS_G1I13;RUA DOUTOR OSCAR DE LIMA RAYOL MANAUS FLORES 69028119 AM 15;MANAUS;-3.043147000;-59.997706900;G0;AMMNS-I13SP354;AMMNS-I13SP354-SS6;MNS_I13_2_GPON_VLAN_182_183_184-ALC;1/1/5/4
EQP0000000029437128;I01GPT1396;CTO - PAD TELEFONICA;AMMNS_G1I01;RUA ROBERTO MALATESTA MANAUS ADRIANOPOLIS 69057092 AM SN;MANAUS;-3.090890900;-60.005775400;GPT;AMMNS-I01SP175;AMMNS-I01SP175-SS4;MNS_I01_1_GPON_VLAN_100_101_102-ALC;1/1/8/14
EQP0000000029476190;N03GP1186;TO;AMMNS_G1N03;RUA JOSE ROMAO MANAUS NOVO ALEIXO 69085288 AM 415;MANAUS;-3.071029800;-59.970221600;GP;AMMNS-N03SP149;AMMNS-N03SP149-SS2;MNS_N03_1_GPON_VLAN_112_113_114_ALC;1/1/6/11
EQP0000000029461782;I05GP615;TO;AMMNS_G1I05;AVENIDA CONSTANTINO NERY MANAUS SAO GERALDO 69050000 AM 2413;MANAUS;-3.100892500;-60.027773700;GP;AMMNS-I05SP77;AMMNS-I05SP77-SS7;MNS_I05_1_GPON_VLAN_124_125_126-ALC;1/1/3/15
EQP0000000029455618;I14G01928;CTO - OPTAP-B-90/10;AMMNS_G1I14;RUA JERONIMO RIBEIRO MANAUS SAO RAIMUNDO 69027100 AM 15;MANAUS;-3.122662900;-60.038784000;G0;AMMNS-I14SP241;AMMNS-I14SP241-SS8;MNS_I14_2_GPON_VLAN_188_189_190-ALC;1/1/2/9
EQP0000000029465299;I15G01436;CTO - OPTAP-B-80/20;AMMNS_G1I15;RUA AMERICO ALVAREZ MANAUS JAPIIM 69078560 AM 25;MANAUS;-3.114922100;-59.988867600;G0;AMMNS-I15SP180;AMMNS-I15SP180-SS4;MNS_I15_1_GPON_VLAN_173_174_175-ALC;1/1/7/12
EQP0000000029454750;I14G01308;CTO - OPTAP-B-80/20;AMMNS_G1I14;RUA JOSE TADROS MANAUS SANTO ANTONIO 69029510 AM 351;MANAUS;-3.115522300;-60.046384100;G0;AMMNS-I14SP164;AMMNS-I14SP164-SS4;MNS_I14_1_GPON_VLAN_185_186_187-ALC;1/1/8/2
EQP0000000029466266;I16G0277;CTO - OPTAP-B-85/15;AMMNS_G1I16;RUA COMANDANTE THEOPHILO MATOS MANAUS DA PAZ 69049140 AM 359;MANAUS;-3.053191300;-60.030917700;G0;AMMNS-I16SP35;AMMNS-I16SP35-SS5;MNS_I16_1_GPON_VLAN_170_171_172-ALC;1/1/2/8
EQP0000000038277247;I06GP337;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;AMMNS_G1I06;RUA RAIMUNDO NONATO DE CASTRO MANAUS SANTO AGOSTINHO 69036790 AM 748;MANAUS;-3.088842700;-60.068893600;GP;AMMNS-I06SP43;AMMNS-I06SP43-SS1;MNS_I06_1_GPON_VLAN_136_137_138-ALC;1/1/3/5
EQP0000000029452924;I06G01205;CTO - PAD TELEFONICA;AMMNS_G1I06;RUA NELSON WAUGHAN MANAUS LIRIO DO VALE 69038430 AM SN;MANAUS;-3.069830400;-60.070033900;G0;AMMNS-I06SP151;AMMNS-I06SP151-SS5;MNS_I06_1_GPON_VLAN_136_137_138-ALC;1/1/7/8
EQP0000000029450966;I06G01380;CTO - PAD TELEFONICA;AMMNS_G1I06;RUA PARANAPANEMA MANAUS LIRIO DO VALE 69038292 AM SN;MANAUS;-3.074893400;-60.069082500;G0;AMMNS-I06SP173;AMMNS-I06SP173-SS4;MNS_I06_1_GPON_VLAN_136_137_138-ALC;1/1/8/4
EQP0000000029455127;I13G02890;CTO - OPTAP-B-60/40;AMMNS_G1I13;RUA GUAPIMIRIM MANAUS CIDADE NOVA 69090060 AM 5;MANAUS;-3.033549300;-59.991153200;G0;AMMNS-I13SP362;AMMNS-I13SP362-SS2;MNS_I13_2_GPON_VLAN_182_183_184-ALC;1/1/5/12
EQP0000000029440657;M04G0332;CTO - PAD TELEFONICA;AMMNS_G1M04;RUA ITAENGA MANAUS ALVORADA 69048630 AM 48;MANAUS;-3.071813500;-60.034898600;G0;AMMNS-M04SP42;AMMNS-M04SP42-SS4;MNS_M04_1_GPON_VLAN_106_107_108-ALC;1/1/2/10
EQP0000000029450825;N02G01630;CTO - PAD TELEFONICA;AMMNS_G1N02;AVENIDA URUCARA MANAUS CACHOEIRINHA 69065180 AM 1032;MANAUS;-3.123897200;-60.003237800;G0;AMMNS-N02SP204;AMMNS-N02SP204-SS6;MNS_N02_2_GPON_VLAN_121_122_123-ALC;1/1/1/1
EQP0000000029436937;I01G01006;CTO - PAD TELEFONICA;AMMNS_G1I01;RUA LAPIS LAZULI MANAUS NOSSA SENHORA DAS GRACAS 69053600 AM SN;MANAUS;-3.103943900;-60.018421800;G0;AMMNS-I01SP126;AMMNS-I01SP126-SS6;MNS_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/12
EQP0000000029451491;N02G01592;CTO - PAD TELEFONICA;AMMNS_G1N02;RUA JAPURA MANAUS CENTRO 69025020 AM 147;MANAUS;-3.121300300;-60.008779800;G0;AMMNS-N02SP199;AMMNS-N02SP199-SS8;MNS_N02_1_GPON_VLAN_118_119_120-ALC;1/1/8/12
EQP0000000103031641;I06GP510;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;AMMNS_G1I06;AVENIDA CORONEL TEIXEIRA MANAUS NOVA ESPERANCA 69037473 AM 6225;MANAUS;-3.084746500;-60.068596100;GP;AMMNS-I06SP64;AMMNS-I06SP64-SS6;MNS_I06_1_GPON_VLAN_136_137_138-ALC;1/1/4/2
EQP0000000038283267;I06GP345;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;AMMNS_G1I06;RUA RAIMUNDO NONATO DE CASTRO MANAUS SANTO AGOSTINHO 69036790 AM 748;MANAUS;-3.089584400;-60.068766700;GP;AMMNS-I06SP44;AMMNS-I06SP44-SS1;MNS_I06_1_GPON_VLAN_136_137_138-ALC;1/1/3/6
EQP0000000029458593;I13G0689;CTO - OPTAP - B;AMMNS_G1I13;TRAVESSA ARARAS MANAUS CIDADE NOVA 69094030 AM 10;MANAUS;-3.039171600;-59.982723500;G0;AMMNS-I13SP87;AMMNS-I13SP87-SS1;MNS_I13_1_GPON_VLAN_179_180_181-ALC;1/1/4/9
EQP0000000029462174;N03GP1560;TO;AMMNS_G1N03;RUA MISUSHIRO MANAUS PARQUE 10 DE NOVEMBRO 69054672 AM 170;MANAUS;-3.071743700;-59.995157500;GP;AMMNS-N03SP195;AMMNS-N03SP195-SS8;MNS_N03_1_GPON_VLAN_112_113_114_ALC;1/1/8/15
EQP0000000029465145;I15G01640;CTO - OPTAP-B-90/10;AMMNS_G1I15;RUA FRANCISCO DE MIRANDA MANAUS JAPIIM 69077140 AM 277;MANAUS;-3.116718900;-59.985117800;G0;AMMNS-I15SP205;AMMNS-I15SP205-SS8;MNS_I15_1_GPON_VLAN_173_174_175-ALC;1/1/8/13
EQP0000000029454996;M04GP2254;TO;AMMNS_G1M04;RUA GOIAS MANAUS FLORES 69058411 AM 28;MANAUS;-3.068644100;-60.011395700;GP;AMMNS-M04SP282;AMMNS-M04SP282-SS6;MNS_M04_2_GPON_VLAN_109_110_111-ALC;1/1/2/5
EQP0000000029464402;I06G01607;CTO - PAD TELEFONICA;AMMNS_G1I06;RUA AMA MANAUS PLANALTO 69045600 AM SN;MANAUS;-3.062781200;-60.055178000;G0;AMMNS-I06SP201;AMMNS-I06SP201-SS7;MNS_I06_2_GPON_VLAN_139_140_141-ALC;1/1/1/8
EQP0000000029454990;I14G02028;CTO - OPTAP-B-80/20;AMMNS_G1I14;RUA LUCILA DE CASTRO MANAUS GLORIA 69027635 AM 488;MANAUS;-3.120566500;-60.036587800;G0;AMMNS-I14SP254;AMMNS-I14SP254-SS4;MNS_I14_2_GPON_VLAN_188_189_190-ALC;1/1/3/3
EQP0000000029465436;M10G073;CTO - OPTAP - B;AMMNS_G1M10;AVENIDA AUTAZ MIRIM MANAUS JORGE TEIXEIRA 69088245 AM 5158;MANAUS;-3.070824900;-59.954442700;G0;AMMNS-M10SP10;AMMNS-M10SP10-SS1;MNS_M10_1_GPON_VLAN_161_162_163-SJS;1/1/1/4
EQP0000000102833465;I01GPC250;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;AMMNS_G1I01;AVENIDA CONSTANTINO NERY MANAUS SAO GERALDO 69050000 AM 2533;MANAUS;-3.103408800;-60.027167900;GP;AMMNS-I01SP32;AMMNS-I01SP32-SS2;MNS_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/1
EQP0000000029454123;I14G01932;CTO - OPTAP-B-80/20;AMMNS_G1I14;RUA RIO BRANCO MANAUS SAO RAIMUNDO 69027034 AM 829;MANAUS;-3.120392400;-60.040470700;G0;AMMNS-I14SP242;AMMNS-I14SP242-SS4;MNS_I14_2_GPON_VLAN_188_189_190-ALC;1/1/2/10
EQP0000000029466368;I15G01173;CTO - OPTAP-B-85/15;AMMNS_G1I15;RUA PRIMEIRO DE SETEMBRO MANAUS JAPIIM 69078140 AM 10;MANAUS;-3.106449200;-59.987005300;G0;AMMNS-I15SP147;AMMNS-I15SP147-SS5;MNS_I15_1_GPON_VLAN_173_174_175-ALC;1/1/6/6
EQP0000000029455149;I13G01999;CTO - OPTAP-B-90/10;AMMNS_G1I13;RUA LEOPOLDO KRICHAMA DA SILVA MANAUS FLORES 69028133 AM 224;MANAUS;-3.044209000;-59.994801000;G0;AMMNS-I13SP250;AMMNS-I13SP250-SS7;MNS_I13_2_GPON_VLAN_182_183_184-ALC;1/1/2/4
EQP0000000029464931;I15G01440;CTO - OPTAP-B-90/10;AMMNS_G1I15;RUA MONTE CASTELO MANAUS JAPIIM 69078510 AM SN;MANAUS;-3.115559000;-59.990010200;G0;AMMNS-I15SP180;AMMNS-I15SP180-SS8;MNS_I15_1_GPON_VLAN_173_174_175-ALC;1/1/7/12
EQP0000000029474736;I05GP068;TO;AMMNS_G1I05;AVENIDA CORONEL TEIXEIRA MANAUS PONTA NEGRA 69037000 AM 2301;MANAUS;-3.089612500;-60.060585900;GP;AMMNS-I05SP9;AMMNS-I05SP9-SS4;MNS_I05_2_GPON_VLAN_127_128_129-ALC;1/1/1/10
