UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000012009564;N01G01415;CTO - OPTAP;RSTRI_G1N02;RUA ALAGOAS TRAMANDAI NOVA TRAMANDAI 95590000 RS 2507;TRAMANDAI;-30.049302900;-50.153457100;G0;RSTRI-N02SP177;RSTRI-N02SP177-SS7;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/6/3
EQP0000000011997153;N02G01293;CTO - OPTAP;RSTRI_G1N02;RUA SAO LEOPOLDO TRAMANDAI OASIS SUL 95590000 RS 36;TRAMANDAI;-30.058775900;-50.159579100;G0;RSTRI-N02SP162;RSTRI-N02SP162-SS5;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/5/4
EQP0000000011996912;M01G01530;CTO - OPTAP;RSTRI_G1M01;AVENIDA MILITAO DE ALMEIDA TRAMANDAI SAO JOSE 95590000 RS 887;TRAMANDAI;-29.996806600;-50.147694200;G0;RSTRI-M01SP192;RSTRI-M01SP192-SS2;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/8/8
EQP0000000011997547;N02G02346;CTO - OPTAP;RSTRI_G1N02;RUA RIO GRANDE DO SUL TRAMANDAI NOVA TRAMANDAI 95590000 RS SN;TRAMANDAI;-30.041077700;-50.162568900;G0;RSTRI-N02SP294;RSTRI-N02SP294-SS2;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/7/10
EQP0000000011995602;M01GP436;TO;RSTRI_G1M01;RUA TUIUTI TRAMANDAI CENTRO 95590000 RS 404;TRAMANDAI;-29.988239400;-50.129677100;GP;RSTRI-M01SP55;RSTRI-M01SP55-SS4;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/4/7
EQP0000000011995990;N02G02460;CTO - OPTAP;RSTRI_G1N02;RUA RONDONIA TRAMANDAI NOVA TRAMANDAI 95590000 RS SN;TRAMANDAI;-30.036444300;-50.161258700;G0;RSTRI-N02SP308;RSTRI-N02SP308-SS4;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/8/8
EQP0000000012009096;M01G01717;CTO - OPTAP;RSTRI_G1M01;RUA MARINHA GREENWALD TRAMANDAI ZONA NOVA 95590000 RS 2715;TRAMANDAI;-29.998205600;-50.137691700;G0;RSTRI-M01SP215;RSTRI-M01SP215-SS5;TRI_M01_2_GPON_VLAN_103-104-105-UBA;1/1/1/15
EQP0000000011996521;M01G01644;CTO - OPTAP;RSTRI_G1M01;AVENIDA PROTASIO ALVES TRAMANDAI ZONA NOVA 95590000 RS 1940;TRAMANDAI;-29.999743400;-50.143237000;G0;RSTRI-M01SP206;RSTRI-M01SP206-SS4;TRI_M01_2_GPON_VLAN_103-104-105-UBA;1/1/1/6
EQP0000000011995607;M01GP1474;TO;RSTRI_G1M01;RUA SAO JOAO TRAMANDAI CENTRO 95590000 RS 1431;TRAMANDAI;-29.989466400;-50.135148700;GP;RSTRI-M01SP185;RSTRI-M01SP185-SS2;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/8/1
EQP0000000011997952;N02G01186;CTO - OPTAP;RSTRI_G1N02;RUA DOS JASMINS TRAMANDAI JARDIM ATLANTICO 95590000 RS 156;TRAMANDAI;-30.064648000;-50.162076800;G0;RSTRI-N02SP149;RSTRI-N02SP149-SS2;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/4/7
EQP0000000011994983;N02G01508;CTO - OPTAP;RSTRI_G1N02;RUA FERNANDO DE NORONHA TRAMANDAI NOVA TRAMANDAI 95590000 RS 1987;TRAMANDAI;-30.044033600;-50.155713100;G0;RSTRI-N02SP189;RSTRI-N02SP189-SS4;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/6/15
EQP0000000011995426;M01GP125;TO;RSTRI_G1M01;AVENIDA BEIRA MAR TRAMANDAI CENTRO 95590000 RS 1268;TRAMANDAI;-29.989507700;-50.125857000;GP;RSTRI-M01SP16;RSTRI-M01SP16-SS5;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/1/16
EQP0000000011996695;M01G01340;CTO - OPTAP;RSTRI_G1M01;RUA SETE DE SETEMBRO TRAMANDAI ZONA NOVA 95590000 RS 1997;TRAMANDAI;-30.000481900;-50.137928500;G0;RSTRI-M01SP168;RSTRI-M01SP168-SS4;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/6/16
