UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000088706882;A04G0070;CTO - UCAO-8;ESCIM_G1A04;RUA SANTO PASSONI CACHOEIRO DE ITAPEMIRIM SAO FRANCISCO DE ASSIS 29317428 ES 68;CACHOEIRO DE ITAPEMIRIM;-20.849743900;-41.141583600;G0;ESCIM-A04SP18;ESCIM-A04SP18-SS2
EQP0000000088705736;A04G0203;CTO - UCAO-8;ESCIM_G1A04;RUA NOSSA SENHORA DOS MILAGRES CACHOEIRO DE ITAPEMIRIM ZUMBI 29302020 ES 19;CACHOEIRO DE ITAPEMIRIM;-20.849779100;-41.133530100;G0;ESCIM-A04SP51;ESCIM-A04SP51-SS3
EQP0000000088700366;A02GP266;TO;ESCIM_G1A02;AVENIDA LEOPOLDINA SMARZARO CACHOEIRO DE ITAPEMIRIM SAO LUCAS 29313711 ES 322;CACHOEIRO DE ITAPEMIRIM;-20.850009700;-41.158514400;GP;ESCIM-A02SP67;ESCIM-A02SP67-SS2
EQP0000000088702309;A04G0054;CTO - UCAO-8;ESCIM_G1A04;RUA DOMINGOS LOURENCINI OLIVEIRA CACHOEIRO DE ITAPEMIRIM PARQUE DAS LARANJEIRAS 29317060 ES 33;CACHOEIRO DE ITAPEMIRIM;-20.848699200;-41.142248200;G0;ESCIM-A04SP14;ESCIM-A04SP14-SS2
EQP0000000088701487;A03G0019;CTO - UCAO-8;ESCIM_G1A03;RUA ALCEBIADES JOSE SOBREIRA CACHOEIRO DE ITAPEMIRIM WALDIR FURTADO AMORIM 29313761 ES 26;CACHOEIRO DE ITAPEMIRIM;-20.838326100;-41.156847200;G0;ESCIM-A03SP5;ESCIM-A03SP5-SS3
EQP0000000088706366;I01GP243;TO;ESCIM_G1I01;AVENIDA FRANCISCO LACERDA DE AGUIAR CACHOEIRO DE ITAPEMIRIM DOUTOR GILBERTO MACHADO 29303387 ES 177;CACHOEIRO DE ITAPEMIRIM;-20.854853600;-41.119225900;GP;ESCIM-I01SP61;ESCIM-I01SP61-SS3
EQP0000000088706217;I01GP236;TO;ESCIM_G1I01;RUA ANTONIO CAETANO GONCALVES CACHOEIRO DE ITAPEMIRIM DOUTOR GILBERTO MACHADO 29303307 ES 85;CACHOEIRO DE ITAPEMIRIM;-20.854907000;-41.116898600;GP;ESCIM-I01SP59;ESCIM-I01SP59-SS4
EQP0000000091022065;A09GP290;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESCIM_G1A09;RUA WALTER DE OLIVEIRA CACHOEIRO DE ITAPEMIRIM DOUTOR GILBERTO MACHADO 29303292 ES 112;CACHOEIRO DE ITAPEMIRIM;-20.854351900;-41.115785500;GP;ESCIM-A09SP73;ESCIM-A09SP73-SS2
EQP0000000088702229;A05G0230;CTO - UCAO-8;ESCIM_G1A05;RUA BERNARDO DE ALMEIDA CACHOEIRO DE ITAPEMIRIM MARIA ORTIZ 29301540 ES 2;CACHOEIRO DE ITAPEMIRIM;-20.844245600;-41.125137900;G0;ESCIM-A05SP58;ESCIM-A05SP58-SS2
EQP0000000088701606;A03G0487;CTO - UCAO-8;ESCIM_G1A03;RUA WILIAN MANHAES CACHOEIRO DE ITAPEMIRIM AGOSTINHO SIMONATO 29311787 ES 99;CACHOEIRO DE ITAPEMIRIM;-20.845470400;-41.146425400;G0;ESCIM-A03SP122;ESCIM-A03SP122-SS3
EQP0000000088702268;A06G0446;CTO - UCAO-8;ESCIM_G1A06;RUA NOSSA SENHORA DE FATIMA CACHOEIRO DE ITAPEMIRIM NOSSA SENHORA DE FATIMA 29308650 ES 36;CACHOEIRO DE ITAPEMIRIM;-20.836871800;-41.112238100;G0;ESCIM-A06SP112;ESCIM-A06SP112-SS2
EQP0000000088702791;A04G0360;CTO - UCAO-8;ESCIM_G1A04;RUA LUIZ CORREA MALVA CACHOEIRO DE ITAPEMIRIM SANTO ANTONIO 29300540 ES 18;CACHOEIRO DE ITAPEMIRIM;-20.846392700;-41.125134700;G0;ESCIM-A04SP90;ESCIM-A04SP90-SS4
EQP0000000088704142;I01G0354;CTO - UCAO-8;ESCIM_G1I01;RUA MARIA AMELIA CURCIO XAVIER CACHOEIRO DE ITAPEMIRIM PARAISO 29304260 ES 57;CACHOEIRO DE ITAPEMIRIM;-20.860647200;-41.123001700;G0;ESCIM-I01SP89;ESCIM-I01SP89-SS2
EQP0000000088702485;A04G0005;CTO - UCAO-8;ESCIM_G1A04;RUA JOAO SATIRO DE ALMEIDA CACHOEIRO DE ITAPEMIRIM JARDIM AMERICA 29310720 ES 37;CACHOEIRO DE ITAPEMIRIM;-20.848550200;-41.146306400;G0;ESCIM-A04SP2;ESCIM-A04SP2-SS1
EQP0000000088701972;A02G0461;CTO - UCAO-8;ESCIM_G1A02;AVENIDA DOMINGOS ALCINO DADALTO CACHOEIRO DE ITAPEMIRIM JARDIM ITAPEMIRIM 29315730 ES 248;CACHOEIRO DE ITAPEMIRIM;-20.854195400;-41.149867000;G0;ESCIM-A02SP116;ESCIM-A02SP116-SS1
EQP0000000088704922;A05G0155;CTO - UCAO-8;ESCIM_G1A05;RUA AMELIO RONQUETTI CACHOEIRO DE ITAPEMIRIM VILA RICA 29301300 ES 40;CACHOEIRO DE ITAPEMIRIM;-20.835610300;-41.127270300;G0;ESCIM-A05SP39;ESCIM-A05SP39-SS3
EQP0000000088706316;I01G0217;CTO - UCAO-8;ESCIM_G1I01;RUA RESK SALIM CARONE CACHOEIRO DE ITAPEMIRIM DOUTOR GILBERTO MACHADO 29303310 ES 48;CACHOEIRO DE ITAPEMIRIM;-20.854604200;-41.116720400;G0;ESCIM-I01SP55;ESCIM-I01SP55-SS1
EQP0000000088706524;A02GP246;TO;ESCIM_G1A02;AVENIDA LEOPOLDINA SMARZARO CACHOEIRO DE ITAPEMIRIM SAO LUCAS 29313711 ES 322;CACHOEIRO DE ITAPEMIRIM;-20.850090500;-41.158097200;GP;ESCIM-A02SP62;ESCIM-A02SP62-SS2
EQP0000000088702921;A06G0464;CTO - UCAO-8;ESCIM_G1A06;RUA JOSE ROSA MACHADO CACHOEIRO DE ITAPEMIRIM ABELARDO FERREIRA MACHADO 29309278 ES 72;CACHOEIRO DE ITAPEMIRIM;-20.839635900;-41.112728100;G0;ESCIM-A06SP116;ESCIM-A06SP116-SS4
EQP0000000088701430;A02G0230;CTO - UCAO-8;ESCIM_G1A02;AVENIDA LEOPOLDINA SMARZARO CACHOEIRO DE ITAPEMIRIM SAO LUCAS 29313711 ES 93;CACHOEIRO DE ITAPEMIRIM;-20.846643400;-41.157928600;G0;ESCIM-A02SP58;ESCIM-A02SP58-SS2
EQP0000000088702323;A05G0161;CTO - UCAO-8;ESCIM_G1A05;RUA ANTONIO JULIO LISBOA CACHOEIRO DE ITAPEMIRIM VILA RICA 29301150 ES 103;CACHOEIRO DE ITAPEMIRIM;-20.836178300;-41.127299500;G0;ESCIM-A05SP41;ESCIM-A05SP41-SS1
EQP0000000088702977;A06G0183;CTO - UCAO-8;ESCIM_G1A06;RUA BENJAMIM SILVA CACHOEIRO DE ITAPEMIRIM NOVO PARQUE 29309130 ES 66;CACHOEIRO DE ITAPEMIRIM;-20.834289800;-41.118666200;G0;ESCIM-A06SP46;ESCIM-A06SP46-SS3
EQP0000000088703021;A04G0485;CTO - UCAO-8;ESCIM_G1A04;RUA LUIZ BAIAO CACHOEIRO DE ITAPEMIRIM ESTELITA COELHO MARINS 29301676 ES 29;CACHOEIRO DE ITAPEMIRIM;-20.845673000;-41.133305800;G0;ESCIM-A04SP122;ESCIM-A04SP122-SS1
EQP0000000088703662;A08G0322;CTO - UCAO-8;ESCIM_G1A08;RUA LIVIA DE OLIVEIRA DEPES CACHOEIRO DE ITAPEMIRIM INDEPENDENCIA 29306322 ES 22;CACHOEIRO DE ITAPEMIRIM;-20.853957300;-41.102632800;G0;ESCIM-A08SP81;ESCIM-A08SP81-SS2
EQP0000000090863957;A04GP229;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESCIM_G1A04;RUA DILA SILVA LEITE CACHOEIRO DE ITAPEMIRIM SAO FRANCISCO DE ASSIS 29317440 ES 59;CACHOEIRO DE ITAPEMIRIM;-20.849077300;-41.138466300;GP;ESCIM-A04SP58;ESCIM-A04SP58-SS1
EQP0000000088701915;A06G0486;CTO - UCAO-8;ESCIM_G1A06;RUA EDMUNDO RAMOS CACHOEIRO DE ITAPEMIRIM NOVO PARQUE 29309040 ES 25;CACHOEIRO DE ITAPEMIRIM;-20.838157500;-41.115264200;G0;ESCIM-A06SP122;ESCIM-A06SP122-SS2
EQP0000000088702905;A06G0478;CTO - UCAO-8;ESCIM_G1A06;RUA EUGENIO AURELIO BRANDAO DO VALE CACHOEIRO DE ITAPEMIRIM ABELARDO FERREIRA MACHADO 29309275 ES 26;CACHOEIRO DE ITAPEMIRIM;-20.840059400;-41.115143500;G0;ESCIM-A06SP120;ESCIM-A06SP120-SS2
EQP0000000088701107;A03G0173;CTO - UCAO-8;ESCIM_G1A03;AVENIDA BEATRIZ ROCHA SOARES CACHOEIRO DE ITAPEMIRIM CORAMARA 29313390 ES 23;CACHOEIRO DE ITAPEMIRIM;-20.830653900;-41.150835400;G0;ESCIM-A03SP44;ESCIM-A03SP44-SS1
EQP0000000088703500;A09G0229;CTO - UCAO-8;ESCIM_G1A09;RUA BARAO DE ITAPEMIRIM CACHOEIRO DE ITAPEMIRIM CENTRO 29300110 ES 11;CACHOEIRO DE ITAPEMIRIM;-20.848991100;-41.112055700;G0;ESCIM-A09SP58;ESCIM-A09SP58-SS1
EQP0000000088702123;A03G0298;CTO - UCAO-8;ESCIM_G1A03;RUA VIRGILIO BOLOGNINI CACHOEIRO DE ITAPEMIRIM DOUTOR GILSON CARONE 29310522 ES 27;CACHOEIRO DE ITAPEMIRIM;-20.838780700;-41.145462000;G0;ESCIM-A03SP75;ESCIM-A03SP75-SS2
EQP0000000088705214;A08G0044;CTO - UCAO-8;ESCIM_G1A08;AVENIDA TARGINO ATHAYDE CACHOEIRO DE ITAPEMIRIM CORONEL BORGES 29306220 ES 19;CACHOEIRO DE ITAPEMIRIM;-20.854880400;-41.093463500;G0;ESCIM-A08SP11;ESCIM-A08SP11-SS4
EQP0000000088703289;A04G0308;CTO - UCAO-8;ESCIM_G1A04;RUA OTACILIO DA SILVA SANTOS CACHOEIRO DE ITAPEMIRIM ZUMBI 29302320 ES 18;CACHOEIRO DE ITAPEMIRIM;-20.850922300;-41.128733500;G0;ESCIM-A04SP77;ESCIM-A04SP77-SS4
EQP0000000088702538;A06G0439;CTO - UCAO-8;ESCIM_G1A06;RUA ROMANO CANTARINI CACHOEIRO DE ITAPEMIRIM NOSSA SENHORA DE FATIMA 29308615 ES 17;CACHOEIRO DE ITAPEMIRIM;-20.838248600;-41.112089700;G0;ESCIM-A06SP110;ESCIM-A06SP110-SS3
EQP0000000088702968;A06G0188;CTO - UCAO-8;ESCIM_G1A06;RUA GABRIEL DA ROSA MACHADO CACHOEIRO DE ITAPEMIRIM NOVO PARQUE 29309140 ES 68;CACHOEIRO DE ITAPEMIRIM;-20.833505700;-41.119201200;G0;ESCIM-A06SP47;ESCIM-A06SP47-SS4
EQP0000000088704262;I01G0441;CTO - UCAO-8;ESCIM_G1I01;RUA AMELIO JOSE FREITAS CACHOEIRO DE ITAPEMIRIM DOUTOR GILBERTO MACHADO 29303255 ES 42;CACHOEIRO DE ITAPEMIRIM;-20.856778000;-41.115593800;G0;ESCIM-I01SP111;ESCIM-I01SP111-SS1
EQP0000000088705411;A09G0492;CTO - UCAO-8;ESCIM_G1A09;RUA SANTOS DUMONT CACHOEIRO DE ITAPEMIRIM ALTO AMARELO 29304407 ES SN;CACHOEIRO DE ITAPEMIRIM;-20.856061500;-41.109900000;G0;ESCIM-A09SP123;ESCIM-A09SP123-SS4
EQP0000000088706677;I02G0174;CTO - OPTAP-B-90/10;ESCIM_G1I02;RUA LAURO LEMOS CACHOEIRO DE ITAPEMIRIM VILLAGE DA LUZ 29309400 ES 110;CACHOEIRO DE ITAPEMIRIM;-20.826603200;-41.117992900;G0;ESCIM-I02SP22;ESCIM-I02SP22-SS6
EQP0000000088703419;A06G0028;CTO - UCAO-8;ESCIM_G1A06;RUA AIMORES CACHOEIRO DE ITAPEMIRIM AQUIDABAN 29308370 ES 79;CACHOEIRO DE ITAPEMIRIM;-20.840812500;-41.119889900;G0;ESCIM-A06SP7;ESCIM-A06SP7-SS4
EQP0000000088703080;A08G0004;CTO - UCAO-8;ESCIM_G1A08;RUA JONAS DE ABREU CACHOEIRO DE ITAPEMIRIM SAO LUIZ GONZAGA 29306818 ES 10;CACHOEIRO DE ITAPEMIRIM;-20.850187600;-41.092286100;G0;ESCIM-A08SP1;ESCIM-A08SP1-SS4
EQP0000000088704943;I01G0071;CTO - UCAO-8;ESCIM_G1I01;RUA FELIX ABDO TANNURE CACHOEIRO DE ITAPEMIRIM CAMPO DA LEOPOLDINA 29305376 ES 30;CACHOEIRO DE ITAPEMIRIM;-20.856284400;-41.125951400;G0;ESCIM-I01SP18;ESCIM-I01SP18-SS3
EQP0000000088702387;A04G0212;CTO - UCAO-8;ESCIM_G1A04;AVENIDA JOSE FELIX CHEIM CACHOEIRO DE ITAPEMIRIM ZUMBI 29302018 ES 1006;CACHOEIRO DE ITAPEMIRIM;-20.848825300;-41.134245100;G0;ESCIM-A04SP53;ESCIM-A04SP53-SS4
EQP0000000088705054;A09G0061;CTO - UCAO-8;ESCIM_G1A09;RUA OCTAVIO ROCHA CACHOEIRO DE ITAPEMIRIM BAIMINAS 29305420 ES 18;CACHOEIRO DE ITAPEMIRIM;-20.860989000;-41.105435700;G0;ESCIM-A09SP16;ESCIM-A09SP16-SS1
EQP0000000088704347;A09G0499;CTO - UCAO-8;ESCIM_G1A09;RUA ITABIRA CACHOEIRO DE ITAPEMIRIM ALTO AMARELO 29304410 ES 22;CACHOEIRO DE ITAPEMIRIM;-20.855089900;-41.109659800;G0;ESCIM-A09SP125;ESCIM-A09SP125-SS3
EQP0000000088702072;A03G0329;CTO - UCAO-8;ESCIM_G1A03;RUA DJALMA MANOEL DA SILVA CACHOEIRO DE ITAPEMIRIM DOUTOR GILSON CARONE 29310510 ES 35;CACHOEIRO DE ITAPEMIRIM;-20.839884500;-41.146917200;G0;ESCIM-A03SP83;ESCIM-A03SP83-SS1
EQP0000000088704811;A06G0198;CTO - UCAO-8;ESCIM_G1A06;AVENIDA LEVINO FANZERES CACHOEIRO DE ITAPEMIRIM NOVO PARQUE 29309070 ES 88;CACHOEIRO DE ITAPEMIRIM;-20.834830600;-41.116881700;G0;ESCIM-A06SP50;ESCIM-A06SP50-SS2
