UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000069969972;I01G0380;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA SEM NOME SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 58;SANTA MARIA DE JETIBA;-20.008253600;-40.743342700;G0;ESSMJ-I01SP48;ESSMJ-I01SP48-SS4
EQP0000000069917054;I01G0464;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA JOSE MULLER SANTA MARIA DE JETIBA VILA NOVA 29645000 ES 157;SANTA MARIA DE JETIBA;-20.017099000;-40.751146200;G0;ESSMJ-I01SP58;ESSMJ-I01SP58-SS8
EQP0000000070028421;I01G0294;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA JOSE CONTE SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.001234300;-40.730813000;G0;ESSMJ-I01SP37;ESSMJ-I01SP37-SS6
EQP0000000070031745;I01G0319;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA ALFREDO KUSTER SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.000892900;-40.739869700;G0;ESSMJ-I01SP40;ESSMJ-I01SP40-SS7
EQP0000000070009717;I01G0220;CTO - OPTAP-B 60/40;ESSMJ_G1I01;RUA DOS EVANGELICOS SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.022788600;-40.746361200;G0;ESSMJ-I01SP28;ESSMJ-I01SP28-SS3
EQP0000000070075746;I01G0192;CTO - OPTAP-B 70/30;ESSMJ_G1I01;RUA MARTIN JACOB SANTA MARIA DE JETIBA CENTRO 29645000 ES 87;SANTA MARIA DE JETIBA;-20.024286400;-40.744652600;G0;ESSMJ-I01SP24;ESSMJ-I01SP24-SS7
EQP0000000070024850;I01G0296;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA HENRIQUE JOAO JULIO KUSTER SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 1385;SANTA MARIA DE JETIBA;-20.001605300;-40.729320600;G0;ESSMJ-I01SP37;ESSMJ-I01SP37-SS8
EQP0000000070077939;I01G0186;CTO - OPTAP-B 60/40;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.025742200;-40.744085200;G0;ESSMJ-I01SP24;ESSMJ-I01SP24-SS1
EQP0000000070016715;I01G0147;CTO - OPTAP-B 70/30;ESSMJ_G1I01;RUA HENRIQUE POTRAZ SANTA MARIA DE JETIBA CENTRO 29645000 ES 317;SANTA MARIA DE JETIBA;-20.026570000;-40.741957700;G0;ESSMJ-I01SP19;ESSMJ-I01SP19-SS3
EQP0000000070015018;I01G0254;CTO - OPTAP-B 70/30;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.022027100;-40.746449700;G0;ESSMJ-I01SP32;ESSMJ-I01SP32-SS5
EQP0000000070032501;I01G0318;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA RODOLFO KUSTER SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 259;SANTA MARIA DE JETIBA;-20.000429200;-40.737320500;G0;ESSMJ-I01SP40;ESSMJ-I01SP40-SS6
EQP0000000070053359;I01G0016;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA HERMAN MIERTSCHINK SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.032771200;-40.740791700;G0;ESSMJ-I01SP2;ESSMJ-I01SP2-SS8
EQP0000000070004110;I01G0286;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA HENRIQUE JOAO JULIO KUSTER SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 1765;SANTA MARIA DE JETIBA;-20.001482500;-40.725626300;G0;ESSMJ-I01SP36;ESSMJ-I01SP36-SS6
