UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000002104327;I01G01864;CTO SPLITTER 1 8;RSUGN_G1I01;AVENIDA PRESIDENTE GETULIO VARGAS URUGUAIANA BELA VISTA 97501825 RS 1887;URUGUAIANA;-29.758373800;-57.094962800;G0;RSUGN-I01SP233;RSUGN-I01SP233-SS8;BR-RSUGN01-OLT02-NK;1/1/2/16
EQP0000000027770144;I01GP1442;MINI CDOE 1:2 + 1:8 PRECON SELADA 70/30;RSUGN_G1I01;RUA DOS ANDRADAS URUGUAIANA SANTO ANTONIO 97502114 RS 1522;URUGUAIANA;-29.752920800;-57.078588800;GP;RSUGN-I01SP181;RSUGN-I01SP181-SS2;BR-RSUGN01-OLT01-NK;1/1/8/12
EQP0000000002097394;I01G01431;CTO SPLITTER 1 8;RSUGN_G1I01;RUA MONTE CASEROS URUGUAIANA CENTRO 97501580 RS 2747;URUGUAIANA;-29.752528000;-57.085980600;G0;RSUGN-I01SP179;RSUGN-I01SP179-SS7;BR-RSUGN01-OLT01-NK;1/1/8/10
EQP0000000002108143;I01G0016;CTO SPLITTER 1 8;RSUGN_G1I01;RUA PINHEIRO MACHADO URUGUAIANA CABO LUIS QUEVEDO 97503850 RS 1144;URUGUAIANA;-29.778046300;-57.103005000;G0;RSUGN-I01SP2;RSUGN-I01SP2-SS8;BR-RSUGN01-OLT01-NK;1/1/1/2
EQP0000000014558542;I01GP2006;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL VITORINO URUGUAIANA BELA VISTA 97501750 RS 2286;URUGUAIANA;-29.759890500;-57.091376900;GP;RSUGN-I01SP251;RSUGN-I01SP251-SS6;BR-RSUGN01-OLT02-NK;1/1/3/10
EQP0000000002807244;I01G0731;CTO SPLITTER 1 8;RSUGN_G1I01;RUA BENJAMIN CONSTANT URUGUAIANA SANTANA 97502340 RS 1715;URUGUAIANA;-29.754612700;-57.076749300;G0;RSUGN-I01SP92;RSUGN-I01SP92-SS3;BR-RSUGN01-OLT01-NK;1/1/5/1
EQP0000000002256486;I01G0796;CTO SPLITTER 1 8;RSUGN_G1I01;RUA PROFESSOR LUIZ ANTONIO LOPES URUGUAIANA SAO JOAO 97502500 RS 2202;URUGUAIANA;-29.758807300;-57.068808100;G0;RSUGN-I01SP100;RSUGN-I01SP100-SS4;BR-RSUGN01-OLT01-NK;1/1/5/7
EQP0000000002097338;I01G01445;CTO SPLITTER 1 8;RSUGN_G1I01;RUA DOS ANDRADAS URUGUAIANA SANTO ANTONIO 97502114 RS 1597;URUGUAIANA;-29.753592900;-57.078330300;G0;RSUGN-I01SP181;RSUGN-I01SP181-SS5;BR-RSUGN01-OLT01-NK;1/1/8/12
EQP0000000002251805;I01G0522;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL CAMARA URUGUAIANA VILA JULIA 97507741 RS 3782;URUGUAIANA;-29.772982000;-57.082897200;G0;RSUGN-I01SP66;RSUGN-I01SP66-SS2;BR-RSUGN01-OLT01-NK;1/1/4/2
EQP0000000002105326;I01G02176;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL HIPOLITO URUGUAIANA SAO MIGUEL 97502770 RS 2615;URUGUAIANA;-29.764010400;-57.087806300;G0;RSUGN-I01SP272;RSUGN-I01SP272-SS8;BR-RSUGN01-OLT02-NK;1/1/4/13
EQP0000000002109688;I01G0215;CTO SPLITTER 1 8;RSUGN_G1I01;RUA SENADOR SALGADO FILHO URUGUAIANA ALEXANDRE ZACHIA 97503090 RS 1884;URUGUAIANA;-29.776648800;-57.094751600;G0;RSUGN-I01SP27;RSUGN-I01SP27-SS7;BR-RSUGN01-OLT01-NK;1/1/1/16
EQP0000000002110195;I01G0280;CTO SPLITTER 1 8;RSUGN_G1I01;RUA TREZE DE MAIO URUGUAIANA ALEXANDRE ZACHIA 97503020 RS 17;URUGUAIANA;-29.776407000;-57.089409900;G0;RSUGN-I01SP35;RSUGN-I01SP35-SS8;BR-RSUGN01-OLT01-NK;1/1/2/8
EQP0000000002108453;I01G0245;CTO SPLITTER 1 8;RSUGN_G1I01;RUA SEIS URUGUAIANA VILA JULIA 97507642 RS 5;URUGUAIANA;-29.776819100;-57.091965800;G0;RSUGN-I01SP31;RSUGN-I01SP31-SS5;BR-RSUGN01-OLT01-NK;1/1/2/4
EQP0000000002403669;I01G01044;CTO SPLITTER 1 8;RSUGN_G1I01;RUA JOSE GARIBALDI URUGUAIANA SAO JOAO 97502621 RS 3294;URUGUAIANA;-29.768728500;-57.074266300;G0;RSUGN-I01SP131;RSUGN-I01SP131-SS4;BR-RSUGN01-OLT01-NK;1/1/6/11
EQP0000000002097083;I01G01267;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL VASCO ALVES URUGUAIANA CENTRO 97501568 RS 3226;URUGUAIANA;-29.749710600;-57.080854400;G0;RSUGN-I01SP159;RSUGN-I01SP159-SS3;BR-RSUGN01-OLT01-NK;1/1/8/1
EQP0000000017441767;I01GP1140;MINI CDOE 1:2 + 1:8 PRECON SELADA 70/30;RSUGN_G1I01;RUA PRADO LIMA URUGUAIANA SAO MIGUEL 97502780 RS 2797;URUGUAIANA;-29.765134400;-57.085418500;GP;RSUGN-I01SP143;RSUGN-I01SP143-SS4;BR-RSUGN01-OLT01-NK;1/1/7/5
EQP0000000002100349;I01G01925;CTO SPLITTER 1 8;RSUGN_G1I01;AVENIDA PRESIDENTE GETULIO VARGAS URUGUAIANA BELA VISTA 97501825 RS 2356;URUGUAIANA;-29.758282100;-57.086950900;G0;RSUGN-I01SP241;RSUGN-I01SP241-SS5;BR-RSUGN01-OLT02-NK;1/1/3/5
EQP0000000002403080;I01G01047;CTO SPLITTER 1 8;RSUGN_G1I01;RUA QUATORZE DE JULHO URUGUAIANA SAO JOAO 97502616 RS 3413;URUGUAIANA;-29.767970100;-57.079007500;G0;RSUGN-I01SP131;RSUGN-I01SP131-SS7;BR-RSUGN01-OLT01-NK;1/1/6/11
