IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000002108364|PT2398|LOC0000000001799511|Poste|-29.778048100|-57.103361200|Aerial|Autossustentável|34.450000000|34.450000000|PT2393|LOC0000000001799501|Poste|-29.778046300|-57.103005000|EQP0000000002108143|I01G0016|LOC0000000001799501|Poste|PT2393|-29.778046300|-57.103005000|EQP0000000002108170|I01G0015|LOC0000000001799895|Poste|PT2590|-29.777455100|-57.103005400|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000014705980|PT1833|LOC0000000001798380|Poste|-29.759653800|-57.070908500|Aerial|Autossustentável|35.540000000|35.540000000|PT1832|LOC0000000001798378|Poste|-29.759655200|-57.070541000|EQP0000000002389823|RSUGNHUB-25|LOC0000000001798378|Poste|PT1832|-29.759655200|-57.070541000|EQP0000000014705744|I01GP803|LOC0000000002231815|MDU|4154_97502496|-29.759769400|-57.071467300|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002108364|PT2398|LOC0000000001799511|Poste|-29.778048100|-57.103361200|Aerial|Autossustentável|32.900000000|32.900000000|PT2382|LOC0000000001799479|Poste|-29.778000800|-57.103697100|EQP0000000002108143|I01G0016|LOC0000000001799501|Poste|PT2393|-29.778046300|-57.103005000|EQP0000000002108170|I01G0015|LOC0000000001799895|Poste|PT2590|-29.777455100|-57.103005400|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002108364|PT2596|LOC0000000001799907|Poste|-29.777874500|-57.103460500|Aerial|Autossustentável|26.820000000|26.820000000|PT2382|LOC0000000001799479|Poste|-29.778000800|-57.103697100|EQP0000000002108143|I01G0016|LOC0000000001799501|Poste|PT2393|-29.778046300|-57.103005000|EQP0000000002108170|I01G0015|LOC0000000001799895|Poste|PT2590|-29.777455100|-57.103005400|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000014614858|PT320|LOC0000000001795357|Poste|-29.754019700|-57.084998900|Aerial|Autossustentável|35.580000000|35.580000000|PT1188|LOC0000000001797090|Poste|-29.753887700|-57.084783100|EQP0000000002598182|RSUGNHUB-55|LOC0000000001795357|Poste|PT320|-29.754019700|-57.084998900|EQP0000000014614219|I01GP1487|LOC0000000002196242|MDU|1606_97501603|-29.753777700|-57.084660000|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1676|LOC0000000001798066|Poste|-29.762554700|-57.075030500|Aerial|Autossustentável|25.720000000|25.720000000|PT1677|LOC0000000001798068|Poste|-29.762786700|-57.075028300|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1677|LOC0000000001798068|Poste|-29.762786700|-57.075028300|Aerial|Autossustentável|38.590000000|38.590000000|PT1699|LOC0000000001798112|Poste|-29.763134800|-57.075029300|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1699|LOC0000000001798112|Poste|-29.763134800|-57.075029300|Aerial|Autossustentável|25.310000000|25.310000000|PT1700|LOC0000000001798114|Poste|-29.763363100|-57.075032300|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1675|LOC0000000001798064|Poste|-29.761088200|-57.075048500|Aerial|Autossustentável|33.880000000|33.880000000|PT1672|LOC0000000001798058|Poste|-29.761393700|-57.075039600|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1739|LOC0000000001798192|Poste|-29.763736300|-57.074951400|Aerial|Autossustentável|10.840000000|10.840000000|PT1697|LOC0000000001798108|Poste|-29.763672400|-57.075036300|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
