UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000004731707;I01G0107;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SAO JOAO VIANA UNIVERSAL 29134421 ES 11;VIANA;-20.361607700;-40.445054200;G0;ESVIA-I01SP14;ESVIA-I01SP14-SS3
EQP0000000004629018;I01G01381;CTO SPLITTER 1 8;ESVIA_G1I01;RUA UBERLANDIA VIANA MARCILIO DE NORONHA 29135521 ES SN;VIANA;-20.341389100;-40.424926600;G0;ESVIA-I01SP173;ESVIA-I01SP173-SS5
EQP0000000004492009;I01G01693;CTO SPLITTER 1 8;ESVIA_G1I01;RUA BARRA DE SAO FRANCISCO VIANA MARCILIO DE NORONHA 29135632 ES QD4-LT18;VIANA;-20.347748600;-40.423150500;G0;ESVIA-I01SP212;ESVIA-I01SP212-SS5
EQP0000000004704886;I01G0316;CTO SPLITTER 1 8;ESVIA_G1I01;RUA E VIANA PRIMAVERA 29135000 ES SN;VIANA;-20.352163900;-40.431660900;G0;ESVIA-I01SP40;ESVIA-I01SP40-SS4
EQP0000000004497389;I01G01664;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA ESPIRITO SANTO VIANA MARCILIO DE NORONHA 29135508 ES QD8-LT58;VIANA;-20.347971900;-40.424199400;G0;ESVIA-I01SP208;ESVIA-I01SP208-SS8
EQP0000000004781422;I01G0057;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SIBIPIRUNA VIANA UNIVERSAL 29134655 ES SN;VIANA;-20.355465100;-40.450369600;G0;ESVIA-I01SP8;ESVIA-I01SP8-SS1
EQP0000000004533821;I01G01574;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CAMPINAS VIANA MARCILIO DE NORONHA 29135394 ES QD44-LT5;VIANA;-20.347215900;-40.426082500;G0;ESVIA-I01SP197;ESVIA-I01SP197-SS6
EQP0000000004541568;I01G01467;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA BENJAMIM VITORIO VIANA INDUSTRIAL 29135563 ES SN;VIANA;-20.344211200;-40.421627900;G0;ESVIA-I01SP184;ESVIA-I01SP184-SS3
EQP0000000004735624;I01G0104;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA ALCACIBAS FURTADO VIANA UNIVERSAL 29134403 ES SN;VIANA;-20.360205000;-40.444380300;G0;ESVIA-I01SP13;ESVIA-I01SP13-SS8
EQP0000000004779292;I01G0006;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA LINHARES VIANA UNIVERSAL 29134494 ES SN;VIANA;-20.357885800;-40.452936000;G0;ESVIA-I01SP1;ESVIA-I01SP1-SS6
EQP0000000004749146;I01G0025;CTO SPLITTER 1 8;ESVIA_G1I01;RUA GETULIO VARGAS VIANA UNIVERSAL 29134676 ES 17;VIANA;-20.354992500;-40.446592400;G0;ESVIA-I01SP4;ESVIA-I01SP4-SS1
EQP0000000004537744;I01G01535;CTO SPLITTER 1 8;ESVIA_G1I01;RUA DIADEMA VIANA MARCILIO DE NORONHA 29135384 ES QD50-LT7;VIANA;-20.343421100;-40.426964500;G0;ESVIA-I01SP192;ESVIA-I01SP192-SS7
EQP0000000004528555;I01G01588;CTO SPLITTER 1 8;ESVIA_G1I01;RUA BAURU VIANA MARCILIO DE NORONHA 29135375 ES SN;VIANA;-20.347007900;-40.425658600;G0;ESVIA-I01SP199;ESVIA-I01SP199-SS4
EQP0000000004750595;I01G0035;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CARLOS ALBERTO NASCIMENTO VIANA UNIVERSAL 29134457 ES SN;VIANA;-20.356466400;-40.448622700;G0;ESVIA-I01SP5;ESVIA-I01SP5-SS3
EQP0000000004496828;I01G01667;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ARACRUZ VIANA MARCILIO DE NORONHA 29135635 ES QD4-LT9;VIANA;-20.347244400;-40.422737600;G0;ESVIA-I01SP209;ESVIA-I01SP209-SS3
EQP0000000004668228;I01G01270;CTO SPLITTER 1 8;ESVIA_G1I01;RUA MINAS GERAIS VIANA VILA BETHANIA 29136092 ES 18;VIANA;-20.357863300;-40.407758300;G0;ESVIA-I01SP159;ESVIA-I01SP159-SS6
EQP0000000004697747;I01G01164;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CORONEL NUNES FERREIRA VIANA VILA BETHANIA 29136111 ES 43;VIANA;-20.361294600;-40.408303500;G0;ESVIA-I01SP146;ESVIA-I01SP146-SS4
EQP0000000004640230;I01G01312;CTO SPLITTER 1 8;ESVIA_G1I01;RUA LUIZA CAZOTTI VIANA VILA BETHANIA 29136030 ES 64;VIANA;-20.357847500;-40.411498500;G0;ESVIA-I01SP164;ESVIA-I01SP164-SS8
EQP0000000004540939;I01G01469;CTO SPLITTER 1 8;ESVIA_G1I01;RUA BELO HORIZONTE VIANA INDUSTRIAL 29135590 ES QDM-LT12;VIANA;-20.343829700;-40.422007400;G0;ESVIA-I01SP184;ESVIA-I01SP184-SS5
EQP0000000004638318;I01GP1317;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESVIA_G1I01;RUA SANTA HELENA VIANA VILA BETHANIA 29136013 ES 281;VIANA;-20.355826000;-40.410910500;GP;ESVIA-I01SP165;ESVIA-I01SP165-SS5
EQP0000000004726381;I01G0251;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SOROCABA VIANA MARCILIO DE NORONHA 29135372 ES QD34-LT37;VIANA;-20.347234200;-40.425162100;G0;ESVIA-I01SP32;ESVIA-I01SP32-SS3
EQP0000000004776348;I01G0070;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SANTA LUZIA VIANA UNIVERSAL 29134445 ES SN;VIANA;-20.360099500;-40.447316200;G0;ESVIA-I01SP9;ESVIA-I01SP9-SS6
EQP0000000004776690;I01G0208;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SANTA CATARINA VIANA CANAA 29135014 ES 62;VIANA;-20.359845900;-40.435060000;G0;ESVIA-I01SP26;ESVIA-I01SP26-SS8
EQP0000000004629433;I01G01380;CTO SPLITTER 1 8;ESVIA_G1I01;RUA OURO PRETO VIANA MARCILIO DE NORONHA 29135518 ES 41;VIANA;-20.341275500;-40.425459300;G0;ESVIA-I01SP173;ESVIA-I01SP173-SS4
EQP0000000004742157;I01G0216;CTO SPLITTER 1 8;ESVIA_G1I01;RUA NITEROI VIANA CANAA 29135106 ES SN;VIANA;-20.357297500;-40.433612900;G0;ESVIA-I01SP27;ESVIA-I01SP27-SS8
EQP0000000004688201;I01G01202;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SANTA HELENA VIANA VILA BETHANIA 29136013 ES 54;VIANA;-20.358587300;-40.406356100;G0;ESVIA-I01SP151;ESVIA-I01SP151-SS2
EQP0000000004728912;I01G0247;CTO SPLITTER 1 8;ESVIA_G1I01;RUA HORTENSIAS VIANA CANAA 29135100 ES 12;VIANA;-20.357488800;-40.435614000;G0;ESVIA-I01SP31;ESVIA-I01SP31-SS7
EQP0000000004623292;I01G01427;CTO SPLITTER 1 8;ESVIA_G1I01;RUA RIO GRANDE DO SUL VIANA INDUSTRIAL 29135554 ES SN1;VIANA;-20.342012500;-40.421417800;G0;ESVIA-I01SP179;ESVIA-I01SP179-SS3
EQP0000000004515280;I01G01624;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CACHOEIRO DE ITAPEMIRIM VIANA MARCILIO DE NORONHA 29135533 ES QD12-LT29;VIANA;-20.344640800;-40.423966200;G0;ESVIA-I01SP203;ESVIA-I01SP203-SS8
EQP0000000004672648;I01G01250;CTO SPLITTER 1 8;ESVIA_G1I01;RUA PARANA VIANA VILA BETHANIA 29136076 ES SN;VIANA;-20.358651500;-40.407794200;G0;ESVIA-I01SP157;ESVIA-I01SP157-SS2
EQP0000000004707019;I01G0322;CTO SPLITTER 1 8;ESVIA_G1I01;RUA JOSE MARCELINO DE MELO VIANA PRIMAVERA 29135228 ES 25;VIANA;-20.353615000;-40.429548100;G0;ESVIA-I01SP41;ESVIA-I01SP41-SS2
EQP0000000004748583;I01G0027;CTO SPLITTER 1 8;ESVIA_G1I01;RUA GETULIO VARGAS VIANA UNIVERSAL 29134676 ES 43;VIANA;-20.356587000;-40.446076300;G0;ESVIA-I01SP4;ESVIA-I01SP4-SS3
EQP0000000004730042;I01G0245;CTO SPLITTER 1 8;ESVIA_G1I01;RUA HORTENSIAS VIANA CANAA 29135100 ES SN;VIANA;-20.358192500;-40.436388400;G0;ESVIA-I01SP31;ESVIA-I01SP31-SS5
EQP0000000128459518;I01GP1322;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESVIA_G1I01;RUA SANTA HELENA VIANA VILA BETHANIA 29136013 ES 281;VIANA;-20.356508100;-40.410890500;GP;ESVIA-I01SP166;ESVIA-I01SP166-SS2
EQP0000000004711938;I01G0184;CTO SPLITTER 1 8;ESVIA_G1I01;RUA TANCREDO DE ALMEIDA NEVES VIANA CANAA 29135004 ES SN;VIANA;-20.359911600;-40.436783500;G0;ESVIA-I01SP23;ESVIA-I01SP23-SS8
EQP0000000004657185;I01G01287;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SANTA LUCIA VIANA ARLINDO VILLASCHI 29136215 ES SN;VIANA;-20.360882400;-40.411757700;G0;ESVIA-I01SP161;ESVIA-I01SP161-SS7
EQP0000000004544337;I01G01498;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA SAO PAULO VIANA MARCILIO DE NORONHA 29135397 ES QD60-LT11;VIANA;-20.348295500;-40.428202000;G0;ESVIA-I01SP188;ESVIA-I01SP188-SS2
EQP0000000004681552;I01G01191;CTO SPLITTER 1 8;ESVIA_G1I01;RUA DOMINGOS VICENTE VIANA VILA BETHANIA 29136114 ES SN;VIANA;-20.361512500;-40.405658000;G0;ESVIA-I01SP149;ESVIA-I01SP149-SS7
EQP0000000128456651;I01GP1316;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESVIA_G1I01;RUA SANTA HELENA VIANA VILA BETHANIA 29136013 ES 281;VIANA;-20.355648100;-40.410927300;GP;ESVIA-I01SP165;ESVIA-I01SP165-SS4
EQP0000000004636924;I01GP1328;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESVIA_G1I01;RUA SANTA HELENA VIANA VILA BETHANIA 29136013 ES 281;VIANA;-20.355708700;-40.410475100;GP;ESVIA-I01SP166;ESVIA-I01SP166-SS8
