UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000042934100;I03G01950;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA CORONEL JOAO ROCHA GUARAPARI IPIRANGA 29201280 ES 51;GUARAPARI;-20.675712300;-40.509123900;G0;ESGRI-I03SP244;ESGRI-I03SP244-SS6
EQP0000000042933078;I05G0535;CTO - PAD TELEFONICA;ESGRI_G1I05;RUA PISCES GUARAPARI SANTA MONICA 29221740 ES 19;GUARAPARI;-20.616583800;-40.448538700;G0;ESGRI-I05SP67;ESGRI-I05SP67-SS7
EQP0000000042933236;I04GP014;TO;ESGRI_G1I04;AVENIDA VITORIA GUARAPARI PRAIA DO MORRO 29216010 ES 30;GUARAPARI;-20.652308300;-40.475912400;GP;ESGRI-I04SP2;ESGRI-I04SP2-SS6
EQP0000000042935504;I04G01709;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA ALAGOAS GUARAPARI JARDIM BOA VISTA 29217170 ES 89;GUARAPARI;-20.642877000;-40.477937700;G0;ESGRI-I04SP214;ESGRI-I04SP214-SS5
EQP0000000042938051;I03G01526;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA NICE MACHADO FREIRE GUARAPARI KUBITSCHEK 29203160 ES SN;GUARAPARI;-20.679366800;-40.519735300;G0;ESGRI-I03SP191;ESGRI-I03SP191-SS6
EQP0000000042936918;I05G0100;CTO - PAD TELEFONICA;ESGRI_G1I05;RUA B DEZESSETE GUARAPARI PORTAL 29220170 ES 20;GUARAPARI;-20.627543700;-40.483146700;G0;ESGRI-I05SP13;ESGRI-I05SP13-SS4
EQP0000000042933066;I05G0115;CTO - PAD TELEFONICA;ESGRI_G1I05;RUA B NOVE GUARAPARI PORTAL 29220090 ES SN;GUARAPARI;-20.627845900;-40.480344400;G0;ESGRI-I05SP15;ESGRI-I05SP15-SS3
EQP0000000042933471;I04G01179;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA OSCAR MEDEIROS TORRES GUARAPARI JARDIM SANTA ROSA 29217290 ES 305;GUARAPARI;-20.637720200;-40.488521700;G0;ESGRI-I04SP148;ESGRI-I04SP148-SS3
EQP0000000042934785;I01G01396;CTO - PAD TELEFONICA;ESGRI_G1I01;RUA TEOTONIO FERREIRA LIMA GUARAPARI PRAIA DO MORRO 29216042 ES 298;GUARAPARI;-20.654905800;-40.493449300;G0;ESGRI-I01SP175;ESGRI-I01SP175-SS4
EQP0000000042935645;I04G01718;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA VIENNA GUARAPARI PRAIA DO MORRO 29216013 ES 14;GUARAPARI;-20.645673200;-40.482983700;G0;ESGRI-I04SP215;ESGRI-I04SP215-SS6
EQP0000000042934690;I02G01149;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA SANTANA DO IAPO GUARAPARI MUQUICABA 29215020 ES 903;GUARAPARI;-20.659687600;-40.501112800;G0;ESGRI-I02SP144;ESGRI-I02SP144-SS5
EQP0000000042932771;I03G0185;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA SIZENANDO MATOS BOURGUIGNON GUARAPARI CENTRO 29200130 ES 41;GUARAPARI;-20.666763100;-40.496473900;G0;ESGRI-I03SP24;ESGRI-I03SP24-SS1
EQP0000000042937386;I03G01787;CTO - PAD TELEFONICA;ESGRI_G1I03;AVENIDA CAPIXABA GUARAPARI OLARIA 29202480 ES SN;GUARAPARI;-20.672980700;-40.515735000;G0;ESGRI-I03SP224;ESGRI-I03SP224-SS3
EQP0000000042932629;I02G0896;CTO - PAD TELEFONICA;ESGRI_G1I02;AVENIDA JOAO ALMEIDA GUARAPARI ADALBERTO SIMAO NADER 29214400 ES 186;GUARAPARI;-20.644808300;-40.500056200;G0;ESGRI-I02SP112;ESGRI-I02SP112-SS8
EQP0000000042935956;I01GP999;TO;ESGRI_G1I01;AVENIDA PRAIANA GUARAPARI PRAIA DO MORRO 29216090 ES 1192;GUARAPARI;-20.651994900;-40.486638800;GP;ESGRI-I01SP125;ESGRI-I01SP125-SS7
EQP0000000042932162;I03G01957;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA CACHOEIRO DE ITAPEMIRIM GUARAPARI IPIRANGA 29201020 ES 5;GUARAPARI;-20.673826400;-40.509813600;G0;ESGRI-I03SP245;ESGRI-I03SP245-SS5
EQP0000000042934508;I03GP212;TO;ESGRI_G1I03;RUA HENRIQUE COUTINHO GUARAPARI CENTRO 29200190 ES 116;GUARAPARI;-20.669560000;-40.496283500;GP;ESGRI-I03SP27;ESGRI-I03SP27-SS4
EQP0000000042936199;I05G0595;CTO - PAD TELEFONICA;ESGRI_G1I05;AVENIDA SENHOR DE ENGENHO GUARAPARI SANTA MONICA 29221470 ES SN;GUARAPARI;-20.617771700;-40.451271100;G0;ESGRI-I05SP75;ESGRI-I05SP75-SS3
EQP0000000042930085;I03GP996;TO;ESGRI_G1I03;RUA JOAQUIM DA SILVA LIMA GUARAPARI CENTRO 29200260 ES 600;GUARAPARI;-20.674808700;-40.501424900;GP;ESGRI-I03SP125;ESGRI-I03SP125-SS4
EQP0000000064391780;I02G0357;CTO SPLITTER 1 8;ESGRI_G1I02;RUA PEDRO DA COSTA VIEIRA GUARAPARI NOSSA SENHORA DA CONCEICAO 29213100 ES 265;GUARAPARI;-20.643656200;-40.512240900;G0;ESGRI-I02SP45;ESGRI-I02SP45-SS5
EQP0000000062265448;I02GP332;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESGRI_G1I02;RUA ADOLPHO CASSOLI GUARAPARI MUQUICABA 29215017 ES 25;GUARAPARI;-20.662593900;-40.497520300;GP;ESGRI-I02SP42;ESGRI-I02SP42-SS4
EQP0000000042933361;I04G01097;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA BENEDITO SANTOS RANGEL GUARAPARI PRAIA DO MORRO 29216440 ES 33;GUARAPARI;-20.647781900;-40.477524300;G0;ESGRI-I04SP138;ESGRI-I04SP138-SS1
EQP0000000042934715;I02G0278;CTO - PAD TELEFONICA;ESGRI_G1I02;AVENIDA ADAMASTOR ANTONIO DA SILVA GUARAPARI MUQUICABA 29215240 ES 487;GUARAPARI;-20.657387300;-40.501543700;G0;ESGRI-I02SP35;ESGRI-I02SP35-SS6
EQP0000000042936006;I02G01681;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA ANTONIO STEIN GUARAPARI MUQUICABA 29215490 ES 90;GUARAPARI;-20.659659300;-40.506830200;G0;ESGRI-I02SP211;ESGRI-I02SP211-SS1
EQP0000000042934717;I02G0274;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA ALARICO DOS SANTOS GUARAPARI MUQUICABA 29215360 ES 192;GUARAPARI;-20.656597500;-40.500554600;G0;ESGRI-I02SP35;ESGRI-I02SP35-SS2
EQP0000000042935899;I01G0488;CTO - PAD TELEFONICA;ESGRI_G1I01;AVENIDA HARRIETE CENTER MILLER GUARAPARI PRAIA DO MORRO 29216047 ES 549;GUARAPARI;-20.654916600;-40.491687200;G0;ESGRI-I01SP61;ESGRI-I01SP61-SS8
EQP0000000042933172;I01G0006;CTO - PAD TELEFONICA;ESGRI_G1I01;RUA ARISTIDES CARAMURU GUARAPARI PRAIA DO MORRO 29216052 ES 113;GUARAPARI;-20.661161400;-40.496328200;G0;ESGRI-I01SP1;ESGRI-I01SP1-SS6
EQP0000000063649285;I02G0198;CTO SPLITTER 1 8;ESGRI_G1I02;RUA NOSSA SENHORA APARECIDA GUARAPARI CONDADOS 29209078 ES 63;GUARAPARI;-20.644913400;-40.513430700;G0;ESGRI-I02SP25;ESGRI-I02SP25-SS6
EQP0000000042935541;I01G0779;CTO - PAD TELEFONICA;ESGRI_G1I01;AVENIDA MUNIR ABUD GUARAPARI PRAIA DO MORRO 29216045 ES 141;GUARAPARI;-20.651779100;-40.485881400;G0;ESGRI-I01SP98;ESGRI-I01SP98-SS3
EQP0000000042937719;I03G01593;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA MAGALHAES PINTO GUARAPARI SANTA MARGARIDA 29203370 ES 52;GUARAPARI;-20.675242600;-40.517949600;G0;ESGRI-I03SP200;ESGRI-I03SP200-SS1
EQP0000000042932635;I04G01715;CTO - PAD TELEFONICA;ESGRI_G1I04;AVENIDA PARANA GUARAPARI JARDIM BOA VISTA 29217030 ES 104;GUARAPARI;-20.642743700;-40.479559700;G0;ESGRI-I04SP215;ESGRI-I04SP215-SS3
EQP0000000042937807;I01GP729;TO;ESGRI_G1I01;AVENIDA ATLANTICA GUARAPARI PRAIA DO MORRO 29216100 ES 1394;GUARAPARI;-20.652216700;-40.488738000;GP;ESGRI-I01SP92;ESGRI-I01SP92-SS1
EQP0000000042932477;I04G01637;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA GUANABARA GUARAPARI JARDIM BOA VISTA 29217045 ES 114;GUARAPARI;-20.640824300;-40.481276600;G0;ESGRI-I04SP205;ESGRI-I04SP205-SS5
EQP0000000042935217;I03G01189;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA PREFEITO EPAMINONDAS DE ALMEIDA GUARAPARI SAO JUDAS TADEU 29200740 ES 480;GUARAPARI;-20.672591800;-40.505201300;G0;ESGRI-I03SP149;ESGRI-I03SP149-SS5
EQP0000000042933826;I04G01339;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA GUALTEMAR SOARES GUARAPARI JARDIM SANTA ROSA 29217390 ES 56;GUARAPARI;-20.639647800;-40.487134000;G0;ESGRI-I04SP168;ESGRI-I04SP168-SS3
EQP0000000042936898;I05G066;CTO - PAD TELEFONICA;ESGRI_G1I05;RUA A QUATRO GUARAPARI PORTAL 29220220 ES 2;GUARAPARI;-20.628262200;-40.482409800;G0;ESGRI-I05SP9;ESGRI-I05SP9-SS2
EQP0000000042938063;I03G01619;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA LACERDA DE AGUIAR GUARAPARI SANTA MARGARIDA 29203280 ES 32;GUARAPARI;-20.676478200;-40.519794300;G0;ESGRI-I03SP203;ESGRI-I03SP203-SS3
EQP0000000102787583;I04GP253;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESGRI_G1I04;AVENIDA BEIRA MAR GUARAPARI PRAIA DO MORRO 29216010 ES 474;GUARAPARI;-20.652065700;-40.477239700;GP;ESGRI-I04SP32;ESGRI-I04SP32-SS5
