UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000003096326;N02GPT3;CTO - OPTAP;RSKDK_G1N02;RUA CIRCULACAO 5 CAPAO DA CANOA ILHAS RESORT 95555000 RS 4;CAPAO DA CANOA;-29.760856400;-50.044708500;GPT;RSKDK-N02SP1;RSKDK-N02SP1-SS3;KDK_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/1
EQP0000000003098655;N02GPT1605;CTO - OPTAP;RSKDK_G1N02;ESTRADA DO MAR KM 37 CAPAO DA CANOA COND MURANO 95555000 RS 317;CAPAO DA CANOA;-29.738577500;-50.024085300;GPT;RSKDK-N02SP201;RSKDK-N02SP201-SS5;KDK_N02_2_GPON_VLAN_109_110_111-ALC;1/1/1/1
EQP0000000003094413;N02G0541;CTO - OPTAP;RSKDK_G1N02;RUA CELSO O BERQUE CAPAO DA CANOA   95555000 RS 236;CAPAO DA CANOA;-29.741847400;-50.007261300;G0;RSKDK-N02SP68;RSKDK-N02SP68-SS5;KDK_N02_1_GPON_VLAN_106_107_108-ALC;1/1/5/4
EQP0000000003093999;N02GPT107;CTO - OPTAP;RSKDK_G1N02;RUA CATAMARA CAPAO DA CANOA VELAS DA MARINA 95555000 RS 11;CAPAO DA CANOA;-29.750984100;-50.044803400;GPT;RSKDK-N02SP14;RSKDK-N02SP14-SS3;KDK_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/14
EQP0000000017343742;M01GP2705;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA ARROIO DO MEIO CAPAO DA CANOA ZONA NOVA 95555000 RS 1386;CAPAO DA CANOA;-29.755025900;-50.013816600;GP;RSKDK-M01SP339;RSKDK-M01SP339-SS1;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/3/5
EQP0000000003096035;M01GP2607;TO;RSKDK_G1M01;RUA MOACIR CAPAO DA CANOA CENTRO 95555000 RS 1533;CAPAO DA CANOA;-29.756060500;-50.014669000;GP;RSKDK-M01SP326;RSKDK-M01SP326-SS7;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/2/8
EQP0000000003096701;M01GP1275;TO;RSKDK_G1M01;RUA GUARACI CAPAO DA CANOA CENTRO 95555000 RS 2416;CAPAO DA CANOA;-29.764389100;-50.016493300;GP;RSKDK-M01SP160;RSKDK-M01SP160-SS3;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/5/7
EQP0000000106722751;M01GP28;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA GUARACI CAPAO DA CANOA NAVEGANTES 95555000 RS 3223;CAPAO DA CANOA;-29.770606700;-50.020438700;GP;RSKDK-M01SP4;RSKDK-M01SP4-SS4;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/1/4
EQP0000000017336634;M01GP3699;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA ARROIO DO MEIO CAPAO DA CANOA ZONA NOVA 95555000 RS 1001;CAPAO DA CANOA;-29.751759500;-50.012525600;GP;RSKDK-M01SP463;S8_1;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/5/8
EQP0000000017440961;M01GP1554;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA MOACIR CAPAO DA CANOA CENTRO 95555000 RS 2067;CAPAO DA CANOA;-29.760359200;-50.016951200;GP;RSKDK-M01SP195;RSKDK-M01SP195-SS2;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/7/10
EQP0000000003094420;N02G0517;CTO - OPTAP;RSKDK_G1N02;Rua GUILHERME GUITTMAN CAPAO DA CANOA ZONA NOVA 95555000 RS SN;CAPAO DA CANOA;-29.747359000;-50.007273200;G0;RSKDK-N02SP65;RSKDK-N02SP65-SS5;KDK_N02_1_GPON_VLAN_106_107_108-ALC;1/1/5/1
EQP0000000003096648;M01GP1265;TO;RSKDK_G1M01;RUA GUARACI CAPAO DA CANOA CENTRO 95555000 RS 2470;CAPAO DA CANOA;-29.764812100;-50.016711300;GP;RSKDK-M01SP159;RSKDK-M01SP159-SS1;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/5/6
EQP0000000106774696;M01GP1432;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA MARABA CAPAO DA CANOA CENTRO 95555000 RS 2255;CAPAO DA CANOA;-29.761695800;-50.018655400;GP;RSKDK-M01SP179;RSKDK-M01SP179-SS8;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/6/10
EQP0000000014523261;M01GP2558;CTO SPLITTER 1 8;RSKDK_G1M01;AVENIDA RUDA CAPAO DA CANOA CENTRO 95555000 RS 335;CAPAO DA CANOA;-29.756970100;-50.015094100;GP;RSKDK-M01SP320;RSKDK-M01SP320-SS6;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/2/2
EQP0000000014263357;M01GP3473;CTO SPLITTER 1 8;RSKDK_G1M01;RUA BEIRA MAR CAPAO DA CANOA ZONA NOVA 95555000 RS 825;CAPAO DA CANOA;-29.750940100;-50.008659000;GP;RSKDK-M01SP435;RSKDK-M01SP435-SS1;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/3/12
EQP0000000062005438;M01GP1397;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA MARABA CAPAO DA CANOA CENTRO 95555000 RS 2545;CAPAO DA CANOA;-29.764299900;-50.020058500;GP;RSKDK-M01SP175;RSKDK-M01SP175-SS5;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/6/6
EQP0000000003093950;N02G01702;CTO - OPTAP;RSKDK_G1N02;AVENIDA SOL NASCENTE CAPAO DA CANOA ARCOIRIS 95555000 RS 243;CAPAO DA CANOA;-29.736464500;-50.002749700;G0;RSKDK-N02SP213;RSKDK-N02SP213-SS6;KDK_N02_2_GPON_VLAN_109_110_111-ALC;1/1/1/13
EQP0000000003093997;N02GPT105;CTO - OPTAP;RSKDK_G1N02;RUA ESCUNA CAPAO DA CANOA VELAS DA MARINA 95555000 RS 10;CAPAO DA CANOA;-29.750444500;-50.045458000;GPT;RSKDK-N02SP14;RSKDK-N02SP14-SS1;KDK_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/14
EQP0000000003094233;N02GPT1618;CTO - OPTAP;RSKDK_G1N02;CONDOMINIO DUBAI RESORT CAPAO DA CANOA   95555000 RS 12;CAPAO DA CANOA;-29.736739400;-50.012955300;GPT;RSKDK-N02SP203;RSKDK-N02SP203-SS2;KDK_N02_2_GPON_VLAN_109_110_111-ALC;1/1/1/3
EQP0000000149287967;M01GP39-5A;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA TUPANCIRETA CAPAO DA CANOA NAVEGANTES 95555000 RS 200;CAPAO DA CANOA;-29.770270400;-50.020208500;GP;RSKDK-M01SP5;RSKDK-M01SP5-SS7;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/1/5
EQP0000000009766058;M01GP322;CTO SPLITTER 1 8;RSKDK_G1M01;RUA TIARAJU CAPAO DA CANOA NAVEGANTES 95555000 RS 163;CAPAO DA CANOA;-29.767170700;-50.018955900;GP;RSKDK-M01SP41;RSKDK-M01SP41-SS2;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/3/9
