UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000106687615;I01GP1543;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSALG_G1I01;RUA GENERAL SAMPAIO ALEGRETE CENTRO 97541261 RS 1053;ALEGRETE;-29.783306300;-55.793380400;GP;RSALG-I01SP193;RSALG-I01SP193-SS7;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/8/5
EQP0000000028172767;I01GP988;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSALG_G1I01;RUA MAURICIO CARDOSO ALEGRETE CIDADE ALTA 97545000 RS 28;ALEGRETE;-29.789273400;-55.796908300;GP;RSALG-I01SP124;RSALG-I01SP124-SS4;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/1
EQP0000000007040149;I01G0980;CTO - OPTAP;RSALG_G1I01;RUA BENTO MANOEL ALEGRETE CENTRO 97543070 RS 1200;ALEGRETE;-29.789623100;-55.800188400;G0;RSALG-I01SP123;RSALG-I01SP123-SS4;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/4/16
EQP0000000007039534;I01GP2237;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSALG_G1I01;RUA HONORIO LEMES ALEGRETE IBIRAPUITÃ 97546260 RS 159;ALEGRETE;-29.786745200;-55.767632100;GP;RSALG-I01SP280;RSALG-I01SP280-SS5;ALG_I01_2_GPON_VLAN_103_104_105-ALC;1/1/3/2
EQP0000000007040960;I01G0001;CTO - OPTAP;RSALG_G1I01;AVENIDA PEDREIRAS ALEGRETE PEDREIRAS 97545570 RS 831;ALEGRETE;-29.807496400;-55.817790300;G0;RSALG-I01SP1;RSALG-I01SP1-SS1;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/1/1
EQP0000000007041923;I01GP1401;TO;RSALG_G1I01;RUA GENERAL SAMPAIO ALEGRETE CENTRO 97541261 RS 1245;ALEGRETE;-29.784926100;-55.793917700;GP;RSALG-I01SP176;RSALG-I01SP176-SS1;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/7/8
EQP0000000007039603;I01G01792;CTO - OPTAP;RSALG_G1I01;RUA GENERAL SAMPAIO ALEGRETE CENTRO 97541261 RS 184;ALEGRETE;-29.775778200;-55.791051800;G0;RSALG-I01SP224;RSALG-I01SP224-SS8;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/8/12
EQP0000000007042363;I01G01461;CTO - OPTAP;RSALG_G1I01;RUA GENERAL VITORINO ALEGRETE CENTRO 97542311 RS 655;ALEGRETE;-29.781357400;-55.797844700;G0;RSALG-I01SP183;RSALG-I01SP183-SS5;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/7/15
EQP0000000007040576;I01G0510;CTO - OPTAP;RSALG_G1I01;RUA RINCAO DOS POETAS ALEGRETE PROGRESSO 97543450 RS 132;ALEGRETE;-29.800275500;-55.814418600;G0;RSALG-I01SP64;RSALG-I01SP64-SS6;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/3/4
EQP0000000027796130;I01GP433;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSALG_G1I01;AVENIDA ASSIS BRASIL ALEGRETE CIDADE ALTA 97545081 RS 1300;ALEGRETE;-29.799988700;-55.802507700;GP;RSALG-I01SP55;RSALG-I01SP55-SS1;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/11
EQP0000000007039592;I01G01976;CTO - OPTAP;RSALG_G1I01;RUA VENANCIO AIRES ALEGRETE CENTRO 97541501 RS 368;ALEGRETE;-29.781461400;-55.789065200;G0;RSALG-I01SP247;RSALG-I01SP247-SS8;ALG_I01_2_GPON_VLAN_103_104_105-ALC;1/1/1/13
EQP0000000007040581;I01G0449;CTO - OPTAP;RSALG_G1I01;RUA ANITA GARIBALDI ALEGRETE ASSUNÇÃO 97543030 RS 966;ALEGRETE;-29.800189800;-55.794082000;G0;RSALG-I01SP57;RSALG-I01SP57-SS1;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/13
EQP0000000007042385;I01GPT1902;TO;RSALG_G1I01;RUA LUIZ DE FREITAS ALEGRETE CENTRO 97541350 RS 225;ALEGRETE;-29.781260700;-55.789893800;GPT;RSALG-I01SP238;RSALG-I01SP238-SS6;ALG_I01_2_GPON_VLAN_103_104_105-ALC;1/1/1/4
