IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000011330621|48822|LOC0000000006981572|Poste|-29.780224400|-55.788927100|Aerial|Cordoalha|22.670000000|22.670000000|48789|LOC0000000006981529|Poste|-29.780280700|-55.788701700|EQP0000000007042927|CAIXA DE EMENDA GENERICA 56|LOC0000000006981529|Poste|48789|-29.780280700|-55.788701700|EQP0000000007042547|I01GPF1926|LOC0000000006966962|Ponto de Interesse|PONTOINTERESSE39|-29.780608500|-55.789439000|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330621|48731|LOC0000000006981481|Poste|-29.780152300|-55.789315500|Aerial|Cordoalha|7.520000000|7.520000000|48732|LOC0000000006981482|Poste|-29.780146900|-55.789238000|EQP0000000007042927|CAIXA DE EMENDA GENERICA 56|LOC0000000006981529|Poste|48789|-29.780280700|-55.788701700|EQP0000000007042547|I01GPF1926|LOC0000000006966962|Ponto de Interesse|PONTOINTERESSE39|-29.780608500|-55.789439000|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330520|51311|LOC0000000006982828|Poste|-29.785831600|-55.781538000|Aerial|Cordoalha|32.840000000|32.840000000|51314|LOC0000000006982831|Poste|-29.785537200|-55.781499600|EQP0000000007039537|I01G02294|LOC0000000006982828|Poste|51311|-29.785831600|-55.781538000|EQP0000000007039538|I01G02293|LOC0000000006982831|Poste|51314|-29.785537200|-55.781499600|RS|ALEGRETE|RSALG_G1I01
CBL0000000011327685|61047|LOC0000000006983374|Poste|-29.806316700|-55.812465100|Aerial|Cordoalha|27.750000000|27.750000000|61048|LOC0000000006983375|Poste|-29.806331100|-55.812751700|EQP0000000007041128|I01G0010|LOC0000000006983375|Poste|61048|-29.806331100|-55.812751700|EQP0000000007040969|I01G0009|LOC0000000006983714|Poste|61258|-29.806896700|-55.812188800|RS|ALEGRETE|RSALG_G1I01
CBL0000000011327685|61046|LOC0000000006983373|Poste|-29.806294100|-55.812216300|Aerial|Cordoalha|24.180000000|24.180000000|61047|LOC0000000006983374|Poste|-29.806316700|-55.812465100|EQP0000000007041128|I01G0010|LOC0000000006983375|Poste|61048|-29.806331100|-55.812751700|EQP0000000007040969|I01G0009|LOC0000000006983714|Poste|61258|-29.806896700|-55.812188800|RS|ALEGRETE|RSALG_G1I01
CBL0000000011327685|61256|LOC0000000006983712|Poste|-29.806349700|-55.812241400|Aerial|Cordoalha|60.850000000|60.850000000|61258|LOC0000000006983714|Poste|-29.806896700|-55.812188800|EQP0000000007041128|I01G0010|LOC0000000006983375|Poste|61048|-29.806331100|-55.812751700|EQP0000000007040969|I01G0009|LOC0000000006983714|Poste|61258|-29.806896700|-55.812188800|RS|ALEGRETE|RSALG_G1I01
CBL0000000011327685|61046|LOC0000000006983373|Poste|-29.806294100|-55.812216300|Aerial|Cordoalha|6.620000000|6.620000000|61256|LOC0000000006983712|Poste|-29.806349700|-55.812241400|EQP0000000007041128|I01G0010|LOC0000000006983375|Poste|61048|-29.806331100|-55.812751700|EQP0000000007040969|I01G0009|LOC0000000006983714|Poste|61258|-29.806896700|-55.812188800|RS|ALEGRETE|RSALG_G1I01
CBL0000000011327489|63295|LOC0000000006985849|Poste|-29.804565200|-55.807872700|Aerial|Cordoalha|36.300000000|36.300000000|63296|LOC0000000006985850|Poste|-29.804886300|-55.807799100|EQP0000000007041323|I01G0051|LOC0000000006985839|Poste|63287|-29.803708000|-55.808065800|EQP0000000007041322|I01G0050|LOC0000000006985850|Poste|63296|-29.804886300|-55.807799100|RS|ALEGRETE|RSALG_G1I01
CBL0000000011327489|63343|LOC0000000006984631|Poste|-29.804297600|-55.807935000|Aerial|Cordoalha|30.270000000|30.270000000|63295|LOC0000000006985849|Poste|-29.804565200|-55.807872700|EQP0000000007041323|I01G0051|LOC0000000006985839|Poste|63287|-29.803708000|-55.808065800|EQP0000000007041322|I01G0050|LOC0000000006985850|Poste|63296|-29.804886300|-55.807799100|RS|ALEGRETE|RSALG_G1I01
CBL0000000011327489|63287|LOC0000000006985839|Poste|-29.803708000|-55.808065800|Aerial|Cordoalha|30.830000000|30.830000000|63286|LOC0000000006985838|Poste|-29.803981600|-55.808008500|EQP0000000007041323|I01G0051|LOC0000000006985839|Poste|63287|-29.803708000|-55.808065800|EQP0000000007041322|I01G0050|LOC0000000006985850|Poste|63296|-29.804886300|-55.807799100|RS|ALEGRETE|RSALG_G1I01
